algorithm,dataset,size,average_time_microseconds,average_character_comparisons
string_quick_sort,prefix_heavy,500,779.079,20134
string_merge_sort,prefix_heavy,500,8768.04,252985
msd_radix_sort,prefix_heavy,500,7899.34,33812
msd_radix_quick_sort,prefix_heavy,500,2551.69,33971
quick_sort,random,600,5081.05,179128
merge_sort,random,600,1103.11,9958
string_quick_sort,random,600,470.117,6233
string_merge_sort,random,600,1095.42,9958
msd_radix_sort,random,600,1276.86,2538
msd_radix_quick_sort,random,600,257.229,2936
quick_sort,reverse_sorted,600,4174.85,150260
merge_sort,reverse_sorted,600,889.8,8022
string_quick_sort,reverse_sorted,600,1687.53,24332
string_merge_sort,reverse_sorted,600,836.517,8022
msd_radix_sort,reverse_sorted,600,1266.83,2526
msd_radix_quick_sort,reverse_sorted,600,298.608,4043
quick_sort,nearly_sorted,600,4421.34,155181
merge_sort,nearly_sorted,600,929.596,6752
string_quick_sort,nearly_sorted,600,1012.18,12919
string_merge_sort,nearly_sorted,600,929.187,6752
msd_radix_sort,nearly_sorted,600,1419.8,2562
msd_radix_quick_sort,nearly_sorted,600,317.779,3082
quick_sort,prefix_heavy,600,9763.74,337253
merge_sort,prefix_heavy,600,4418.47,124256
string_quick_sort,prefix_heavy,600,667.2,13182
string_merge_sort,prefix_heavy,600,4395.9,124256
msd_radix_sort,prefix_heavy,600,2593.12,16876
msd_radix_quick_sort,prefix_heavy,600,1445.07,17211
quick_sort,random,700,6105,200482
merge_sort,random,700,1489.45,12013
string_quick_sort,random,700,571.354,7225
string_merge_sort,random,700,1502.02,12013
msd_radix_sort,random,700,1431.29,2908
msd_radix_quick_sort,random,700,348.825,3531
quick_sort,reverse_sorted,700,5987.36,194786
merge_sort,reverse_sorted,700,1307.73,9886
string_quick_sort,reverse_sorted,700,2356.06,29287
string_merge_sort,reverse_sorted,700,1233.96,9886
msd_radix_sort,reverse_sorted,700,1802.54,2990
msd_radix_quick_sort,reverse_sorted,700,521.983,5119
quick_sort,nearly_sorted,700,6238.99,201434
merge_sort,nearly_sorted,700,1202.78,8252
string_quick_sort,nearly_sorted,700,1383.1,17122
string_merge_sort,nearly_sorted,700,1184.27,8252
msd_radix_sort,nearly_sorted,700,1403.57,2938
msd_radix_quick_sort,nearly_sorted,700,370.512,3753
quick_sort,prefix_heavy,700,9164.59,335103
merge_sort,prefix_heavy,700,4072.73,103655
string_quick_sort,prefix_heavy,700,618.067,11954
string_merge_sort,prefix_heavy,700,3789.56,103655
msd_radix_sort,prefix_heavy,700,2301.45,14168
msd_radix_quick_sort,prefix_heavy,700,1314.97,14720
quick_sort,random,800,6736.03,247206
merge_sort,random,800,1623.35,14208
string_quick_sort,random,800,582.658,7524
string_merge_sort,random,800,1653.3,14208
msd_radix_sort,random,800,1616.1,3366
msd_radix_quick_sort,random,800,377.575,4133
quick_sort,reverse_sorted,800,5923.15,227112
merge_sort,reverse_sorted,800,1287.29,11458
string_quick_sort,reverse_sorted,800,2190.7,33646
string_merge_sort,reverse_sorted,800,1335.11,11458
msd_radix_sort,reverse_sorted,800,1787.31,3448
msd_radix_quick_sort,reverse_sorted,800,542.792,6370
quick_sort,nearly_sorted,800,5768.29,225309
merge_sort,nearly_sorted,800,1312.12,9863
string_quick_sort,nearly_sorted,800,1321.58,20369
string_merge_sort,nearly_sorted,800,1258.36,9863
msd_radix_sort,nearly_sorted,800,1477.07,3388
msd_radix_quick_sort,nearly_sorted,800,403.808,4589
quick_sort,prefix_heavy,800,9924.17,374128
merge_sort,prefix_heavy,800,3797.52,94817
string_quick_sort,prefix_heavy,800,780.338,13306
string_merge_sort,prefix_heavy,800,3793.37,94817
msd_radix_sort,prefix_heavy,800,2420.65,13014
msd_radix_quick_sort,prefix_heavy,800,1142.97,13891
quick_sort,random,900,6922.75,254783
merge_sort,random,900,1864.94,16565
string_quick_sort,random,900,691.508,8913
string_merge_sort,random,900,2273.68,16565
msd_radix_sort,random,900,1834.78,3856
msd_radix_quick_sort,random,900,510.225,4904
quick_sort,reverse_sorted,900,5882.26,226746
merge_sort,reverse_sorted,900,1472.3,13098
string_quick_sort,reverse_sorted,900,2262.09,38539
string_merge_sort,reverse_sorted,900,1358.22,13098
msd_radix_sort,reverse_sorted,900,1795.19,3900
msd_radix_quick_sort,reverse_sorted,900,541.421,7652
quick_sort,nearly_sorted,900,5967.58,227442
merge_sort,nearly_sorted,900,1085.36,8481
string_quick_sort,nearly_sorted,900,1524.22,23867
string_merge_sort,nearly_sorted,900,1216.12,8481
msd_radix_sort,nearly_sorted,900,1460.47,3870
msd_radix_quick_sort,nearly_sorted,900,319.05,5441
quick_sort,prefix_heavy,900,25012,1.07226e+06
merge_sort,prefix_heavy,900,14194.4,613880
