algorithm,dataset,size,average_time_microseconds,average_character_comparisons
msd_radix_quick_sort,prefix_heavy,2300,12331.6,169809
quick_sort,random,2400,19680.7,727411
merge_sort,random,2400,5756.27,56180
string_quick_sort,random,2400,2412.66,31898
string_merge_sort,random,2400,5807.32,56180
msd_radix_sort,random,2400,6108.83,11320
msd_radix_quick_sort,random,2400,1535.48,16830
quick_sort,reverse_sorted,2400,17171,625602
merge_sort,reverse_sorted,2400,4472.9,43236
string_quick_sort,reverse_sorted,2400,7754.98,112913
string_merge_sort,reverse_sorted,2400,4551.45,43236
msd_radix_sort,reverse_sorted,2400,6191.48,11410
msd_radix_quick_sort,reverse_sorted,2400,2705.15,38666
quick_sort,nearly_sorted,2400,18446,613928
merge_sort,nearly_sorted,2400,5398.09,45602
string_quick_sort,nearly_sorted,2400,5656.75,70575
string_merge_sort,nearly_sorted,2400,5642.11,45602
msd_radix_sort,nearly_sorted,2400,5909.7,11300
msd_radix_quick_sort,nearly_sorted,2400,1590.7,19350
quick_sort,prefix_heavy,2400,63406,2.38483e+06
merge_sort,prefix_heavy,2400,36437.6,1.24598e+06
string_quick_sort,prefix_heavy,2400,3534.42,85129
string_merge_sort,prefix_heavy,2400,35225.3,1.24598e+06
msd_radix_sort,prefix_heavy,2400,13461,130244
msd_radix_quick_sort,prefix_heavy,2400,9192.53,135300
quick_sort,random,2500,21570.3,766929
merge_sort,random,2500,6845.27,59157
string_quick_sort,random,2500,2050.97,28498
string_merge_sort,random,2500,5780.09,59157
msd_radix_sort,random,2500,4868.25,11856
msd_radix_quick_sort,random,2500,1268.69,17978
quick_sort,reverse_sorted,2500,17825.7,692682
merge_sort,reverse_sorted,2500,4700.86,45418
string_quick_sort,reverse_sorted,2500,7898.65,119351
string_merge_sort,reverse_sorted,2500,4661.25,45418
msd_radix_sort,reverse_sorted,2500,6202.83,11828
msd_radix_quick_sort,reverse_sorted,2500,2761.03,41752
quick_sort,nearly_sorted,2500,17894.7,673113
merge_sort,nearly_sorted,2500,3700.59,30841
string_quick_sort,nearly_sorted,2500,6499.74,97637
string_merge_sort,nearly_sorted,2500,3655.9,30841
msd_radix_sort,nearly_sorted,2500,5795.15,11842
msd_radix_quick_sort,nearly_sorted,2500,1753,22189
quick_sort,prefix_heavy,2500,32758.2,1.17245e+06
merge_sort,prefix_heavy,2500,13635,361583
string_quick_sort,prefix_heavy,2500,2915.22,48207
string_merge_sort,prefix_heavy,2500,13806.2,361583
msd_radix_sort,prefix_heavy,2500,8278.7,41916
msd_radix_quick_sort,prefix_heavy,2500,3792.08,47801
quick_sort,random,2600,22000.8,798536
merge_sort,random,2600,6356.99,61931
string_quick_sort,random,2600,2520.74,33345
string_merge_sort,random,2600,6465.83,61931
msd_radix_sort,random,2600,6532.35,12366
msd_radix_quick_sort,random,2600,1730.36,18616
quick_sort,reverse_sorted,2600,18892.4,723094
merge_sort,reverse_sorted,2600,5003.19,47592
string_quick_sort,reverse_sorted,2600,7496.8,122982
string_merge_sort,reverse_sorted,2600,4927.15,47592
msd_radix_sort,reverse_sorted,2600,6728.12,12448
msd_radix_quick_sort,reverse_sorted,2600,2950.48,44264
quick_sort,nearly_sorted,2600,16899.7,717057
merge_sort,nearly_sorted,2600,5238.77,49459
string_quick_sort,nearly_sorted,2600,6232.93,97953
string_merge_sort,nearly_sorted,2600,5632.9,49459
msd_radix_sort,nearly_sorted,2600,6285.58,12410
msd_radix_quick_sort,nearly_sorted,2600,1750.79,21089
quick_sort,prefix_heavy,2600,52324.7,2.12775e+06
merge_sort,prefix_heavy,2600,29529.7,1.00336e+06
string_quick_sort,prefix_heavy,2600,3436.73,76612
string_merge_sort,prefix_heavy,2600,31116.4,1.00336e+06
msd_radix_sort,prefix_heavy,2600,12569.1,105238
msd_radix_quick_sort,prefix_heavy,2600,7574.75,111052
quick_sort,random,2700,23107.8,840975
merge_sort,random,2700,6870.85,64877
string_quick_sort,random,2700,2653.55,34540
string_merge_sort,random,2700,6852.14,64877
msd_radix_sort,random,2700,6846.89,12806
msd_radix_quick_sort,random,2700,1697.73,19487
quick_sort,reverse_sorted,2700,19597.9,758256
merge_sort,reverse_sorted,2700,5075.89,50132
string_quick_sort,reverse_sorted,2700,8328.89,132395
string_merge_sort,reverse_sorted,2700,5089.18,50132
msd_radix_sort,reverse_sorted,2700,6835.66,12894
msd_radix_quick_sort,reverse_sorted,2700,2979.04,46931
quick_sort,nearly_sorted,2700,19207,754539
merge_sort,nearly_sorted,2700,5676.2,50058
string_quick_sort,nearly_sorted,2700,5621.31,82917
string_merge_sort,nearly_sorted,2700,4397.23,50058
msd_radix_sort,nearly_sorted,2700,6091.16,12898
msd_radix_quick_sort,nearly_sorted,2700,1945.39,23013
quick_sort,prefix_heavy,2700,77948.2,3.23818e+06
merge_sort,prefix_heavy,2700,49728.4,1.8118e+06
string_quick_sort,prefix_heavy,2700,4130.11,112915
string_merge_sort,prefix_heavy,2700,48914.2,1.8118e+06
msd_radix_sort,prefix_heavy,2700,16685.3,183752
msd_radix_quick_sort,prefix_heavy,2700,12388.4,189188
quick_sort,random,2800,22994.6,857765
merge_sort,random,2800,7049.31,67885
string_quick_sort,random,2800,2492.11,31875
string_merge_sort,random,2800,7086.6,67885
msd_radix_sort,random,2800,7282.84,13464
msd_radix_quick_sort,random,2800,1786.06,20687
quick_sort,reverse_sorted,2800,21500.3,817094
merge_sort,reverse_sorted,2800,5450.94,52116
string_quick_sort,reverse_sorted,2800,8809.75,136194
string_merge_sort,reverse_sorted,2800,4069.5,52116
msd_radix_sort,reverse_sorted,2800,7103.58,13490
msd_radix_quick_sort,reverse_sorted,2800,3246.19,49647
quick_sort,nearly_sorted,2800,19761.8,761550
merge_sort,nearly_sorted,2800,5683.82,54339
string_quick_sort,nearly_sorted,2800,5150.7,91213
string_merge_sort,nearly_sorted,2800,4570.12,54339
msd_radix_sort,nearly_sorted,2800,6899.45,13458
msd_radix_quick_sort,nearly_sorted,2800,1895.58,23381
quick_sort,prefix_heavy,2800,83780.8,3.28978e+06
merge_sort,prefix_heavy,2800,51588,1.8894e+06
string_quick_sort,prefix_heavy,2800,4103.22,117213
string_merge_sort,prefix_heavy,2800,49411.3,1.8894e+06
msd_radix_sort,prefix_heavy,2800,17512,190678
msd_radix_quick_sort,prefix_heavy,2800,12995.1,196153
quick_sort,random,2900,25313.7,910984
merge_sort,random,2900,6046.19,70738
string_quick_sort,random,2900,2017.97,35113
string_merge_sort,random,2900,7648.16,70738
msd_radix_sort,random,2900,7491.28,13942
msd_radix_quick_sort,random,2900,1924.1,21544
quick_sort,reverse_sorted,2900,21639.3,870052
merge_sort,reverse_sorted,2900,4213.95,54466
string_quick_sort,reverse_sorted,2900,8928.91,142299
string_merge_sort,reverse_sorted,2900,5525.42,54466
msd_radix_sort,reverse_sorted,2900,7858.95,14104
msd_radix_quick_sort,reverse_sorted,2900,3603.11,52599
quick_sort,nearly_sorted,2900,23004.3,864727
merge_sort,nearly_sorted,2900,6047.84,58509
string_quick_sort,nearly_sorted,2900,4939.93,72359
string_merge_sort,nearly_sorted,2900,5987.89,58509
msd_radix_sort,nearly_sorted,2900,7112.84,13912
msd_radix_quick_sort,nearly_sorted,2900,1935.64,24718
quick_sort,prefix_heavy,2900,66395,2.53633e+06
merge_sort,prefix_heavy,2900,32731.2,1.1372e+06
string_quick_sort,prefix_heavy,2900,3995.87,88601
string_merge_sort,prefix_heavy,2900,34458.6,1.1372e+06
msd_radix_sort,prefix_heavy,2900,14818.9,117636
msd_radix_quick_sort,prefix_heavy,2900,8732.02,124369
quick_sort,random,3000,26438.6,941220
merge_sort,random,3000,6951.29,73666
string_quick_sort,random,3000,2807.34,36272
string_merge_sort,random,3000,7507.56,73666
msd_radix_sort,random,3000,8496.99,14556
msd_radix_quick_sort,random,3000,2097.55,22241
quick_sort,reverse_sorted,3000,22303.9,899424
merge_sort,reverse_sorted,3000,4999.05,56216
string_quick_sort,reverse_sorted,3000,10198.4,146535
string_merge_sort,reverse_sorted,3000,5750.05,56216
msd_radix_sort,reverse_sorted,3000,7964.65,14522
msd_radix_quick_sort,reverse_sorted,3000,3823.83,55512
quick_sort,nearly_sorted,3000,23735.9,865666
merge_sort,nearly_sorted,3000,6500.53,60198
string_quick_sort,nearly_sorted,3000,8288.27,120027
string_merge_sort,nearly_sorted,3000,11476.1,60198
msd_radix_sort,nearly_sorted,3000,8076.4,14556
msd_radix_quick_sort,nearly_sorted,3000,1944.67,25560
quick_sort,prefix_heavy,3000,81923.4,3.04371e+06
merge_sort,prefix_heavy,3000,46657.9,1.6128e+06
string_quick_sort,prefix_heavy,3000,4973.16,109073
string_merge_sort,prefix_heavy,3000,53148.6,1.6128e+06
msd_radix_sort,prefix_heavy,3000,19881.2,162982
msd_radix_quick_sort,prefix_heavy,3000,13780.8,169840
